,date,counts,date_new,counts_new,date_new_tw,counts_new_tw
0,3/4/22,18,8/4/22,20,2/3/22,0
1,4/4/22,5,9/4/22,40,3/3/22,0
2,5/4/22,10,11/4/22,0,4/3/22,0
3,6/4/22,7,12/4/22,0,5/3/22,0
4,7/4/22,10,13/4/22,0,7/3/22,0
5,8/4/22,20,14/4/22,14,8/3/22,0
6,9/4/22,40,15/4/22,4,9/3/22,0
7,10/4/22,26,18/4/22,15,10/3/22,0
8,14/4/22,14,19/4/22,2,11/3/22,0
9,15/4/22,4,20/4/22,11,12/3/22,0
10,16/4/22,12,21/4/22,0,14/3/22,0
11,17/4/22,4,22/4/22,0,15/3/22,0
12,18/4/22,15,23/4/22,0,16/3/22,0
13,19/4/22,2,25/4/22,10,17/3/22,0
14,20/4/22,11,26/4/22,9,18/3/22,0
15,24/4/22,21,27/4/22,18,19/3/22,0
16,25/4/22,10,28/4/22,21,21/3/22,0
17,26/4/22,9,29/4/22,20,22/3/22,0
18,27/4/22,18,30/4/22,0,23/3/22,0
19,28/4/22,21,2/5/22,1,24/3/22,0
20,29/4/22,20,3/5/22,31,25/3/22,0
21,2/5/22,1,4/5/22,10,26/3/22,0
22,3/5/22,31,5/5/22,1,28/3/22,0
23,4/5/22,10,6/5/22,20,29/3/22,0
24,5/5/22,1,7/5/22,5,30/3/22,0
25,6/5/22,20,9/5/22,25,31/3/22,0
26,7/5/22,5,10/5/22,4,1/4/22,0
27,8/5/22,2,11/5/22,0,2/4/22,0
28,9/5/22,25,12/5/22,0,4/4/22,0
29,10/5/22,4,13/5/22,0,5/4/22,0
30,17/5/22,2,14/5/22,0,6/4/22,0
31,18/5/22,23,16/5/22,0,7/4/22,0
32,19/5/22,33,17/5/22,2,8/4/22,20
33,20/5/22,41,18/5/22,23,9/4/22,40
34,26/5/22,6,19/5/22,33,11/4/22,0
35,27/5/22,39,20/5/22,41,12/4/22,0
36,28/5/22,33,21/5/22,0,13/4/22,0
37,29/5/22,21,23/5/22,0,14/4/22,14
38,4/6/22,26,24/5/22,0,15/4/22,4
39,5/6/22,13,25/5/22,0,18/4/22,15
40,6/6/22,15,26/5/22,6,19/4/22,2
41,7/6/22,10,27/5/22,39,20/4/22,11
42,8/6/22,5,28/5/22,33,21/4/22,0
43,9/6/22,9,31/5/22,0,22/4/22,0
44,10/6/22,21,1/6/22,0,23/4/22,0
45,16/6/22,42,2/6/22,0,25/4/22,10
46,17/6/22,40,3/6/22,0,26/4/22,9
47,18/6/22,54,4/6/22,26,27/4/22,18
48,19/6/22,31,6/6/22,15,28/4/22,21
49,20/6/22,42,7/6/22,10,29/4/22,20
50,21/6/22,12,8/6/22,5,30/4/22,0
51,2/7/22,7,9/6/22,9,2/5/22,1
52,4/7/22,3,10/6/22,21,3/5/22,31
53,5/7/22,16,11/6/22,0,4/5/22,10
54,6/7/22,15,13/6/22,0,5/5/22,1
55,7/7/22,24,14/6/22,0,6/5/22,20
56,8/7/22,11,15/6/22,0,7/5/22,5
57,12/7/22,15,16/6/22,42,9/5/22,25
58,13/7/22,18,17/6/22,40,10/5/22,4
59,14/7/22,3,18/6/22,54,11/5/22,0
60,15/7/22,21,21/6/22,12,12/5/22,0
61,16/7/22,6,22/6/22,0,13/5/22,0
62,18/7/22,20,23/6/22,0,14/5/22,0
63,19/7/22,12,24/6/22,0,16/5/22,0
64,20/7/22,4,25/6/22,0,17/5/22,2
65,21/7/22,11,27/6/22,0,18/5/22,23
66,22/7/22,8,28/6/22,0,19/5/22,33
67,23/7/22,4,29/6/22,0,20/5/22,41
68,24/7/22,19,30/6/22,0,21/5/22,0
69,25/7/22,24,1/7/22,0,23/5/22,0
70,26/7/22,6,2/7/22,7,24/5/22,0
71,27/7/22,15,5/7/22,16,25/5/22,0
72,28/7/22,1,6/7/22,15,26/5/22,6
73,29/7/22,15,7/7/22,24,27/5/22,39
74,30/7/22,14,8/7/22,11,28/5/22,33
75,31/7/22,10,9/7/22,0,31/5/22,0
76,1/8/22,13,11/7/22,0,1/6/22,0
77,2/8/22,8,12/7/22,15,2/6/22,0
78,4/8/22,9,13/7/22,18,3/6/22,0
79,5/8/22,3,14/7/22,3,4/6/22,26
80,6/8/22,14,15/7/22,21,6/6/22,15
81,7/8/22,5,16/7/22,6,7/6/22,10
82,8/8/22,3,18/7/22,20,8/6/22,5
83,9/8/22,4,19/7/22,12,9/6/22,9
84,10/8/22,22,20/7/22,4,10/6/22,21
85,11/8/22,14,21/7/22,11,11/6/22,0
86,12/8/22,6,22/7/22,8,13/6/22,0
87,13/8/22,11,23/7/22,4,14/6/22,0
88,14/8/22,6,25/7/22,24,15/6/22,0
89,15/8/22,1,26/7/22,6,16/6/22,42
90,16/8/22,4,27/7/22,15,17/6/22,40
91,17/8/22,24,28/7/22,1,18/6/22,54
92,18/8/22,8,29/7/22,15,21/6/22,12
93,19/8/22,20,30/7/22,14,22/6/22,0
94,20/8/22,8,1/8/22,13,23/6/22,0
95,21/8/22,9,2/8/22,8,24/6/22,0
96,22/8/22,8,3/8/22,0,25/6/22,0
97,23/8/22,11,4/8/22,9,27/6/22,0
98,24/8/22,8,5/8/22,3,28/6/22,0
99,25/8/22,4,6/8/22,14,29/6/22,0
100,26/8/22,18,8/8/22,3,30/6/22,0
101,27/8/22,1,9/8/22,4,1/7/22,0
102,28/8/22,33,10/8/22,22,2/7/22,7
103,29/8/22,8,11/8/22,14,5/7/22,16
104,30/8/22,8,12/8/22,6,6/7/22,15
105,31/8/22,5,13/8/22,11,7/7/22,24
106,1/9/22,5,15/8/22,1,8/7/22,11
107,3/9/22,2,16/8/22,4,9/7/22,0
108,4/9/22,3,17/8/22,24,11/7/22,0
109,5/9/22,10,18/8/22,8,12/7/22,15
110,6/9/22,26,19/8/22,20,13/7/22,18
111,7/9/22,9,20/8/22,8,14/7/22,3
112,8/9/22,63,22/8/22,8,15/7/22,21
113,9/9/22,30,23/8/22,11,16/7/22,6
114,10/9/22,24,24/8/22,8,18/7/22,20
115,11/9/22,10,25/8/22,4,19/7/22,12
116,12/9/22,24,26/8/22,18,20/7/22,4
117,13/9/22,52,27/8/22,1,21/7/22,11
118,14/9/22,10,29/8/22,8,22/7/22,8
119,15/9/22,2,30/8/22,8,23/7/22,4
,,,31/8/22,5,25/7/22,24
,,,1/9/22,5,26/7/22,6
,,,2/9/22,0,27/7/22,15
,,,3/9/22,2,28/7/22,1
,,,6/9/22,26,29/7/22,15
,,,7/9/22,9,30/7/22,14
,,,8/9/22,63,1/8/22,13
,,,9/9/22,30,2/8/22,8
,,,10/9/22,24,3/8/22,0
,,,12/9/22,24,4/8/22,9
,,,13/9/22,52,5/8/22,3
,,,14/9/22,10,6/8/22,14
,,,15/9/22,2,8/8/22,3
,,,,,9/8/22,4
,,,,,10/8/22,22
,,,,,11/8/22,14
,,,,,12/8/22,6
,,,,,13/8/22,11
,,,,,15/8/22,1
,,,,,16/8/22,4
,,,,,17/8/22,24
,,,,,18/8/22,8
,,,,,19/8/22,20
,,,,,20/8/22,8
,,,,,22/8/22,8
,,,,,23/8/22,11
,,,,,24/8/22,8
,,,,,25/8/22,4
,,,,,26/8/22,18
,,,,,27/8/22,1
,,,,,29/8/22,8
,,,,,30/8/22,8
,,,,,31/8/22,5
,,,,,1/9/22,5
,,,,,2/9/22,0
,,,,,3/9/22,2
,,,,,6/9/22,26
,,,,,7/9/22,9
,,,,,8/9/22,63
,,,,,9/9/22,30
,,,,,10/9/22,24
,,,,,12/9/22,24
,,,,,13/9/22,52
,,,,,14/9/22,10
,,,,,15/9/22,2