date,negative,neutral,positive,total,date_,negative_ts,neutral_ts,positive_ts,counts_new,date_new_tw,negative_tw,neutral_tw,positive_tw,counts_new_tw
3/4/22,5,10,3,18,8/4/22,2,10,8,20,2/3/22,0,0,0,0
4/4/22,1,2,2,5,9/4/22,8,24,8,40,3/3/22,0,0,0,0
5/4/22,3,3,4,10,11/4/22,0,0,0,0,4/3/22,0,0,0,0
6/4/22,0,5,2,7,12/4/22,0,0,0,0,5/3/22,0,0,0,0
7/4/22,0,9,1,10,13/4/22,0,0,0,0,7/3/22,0,0,0,0
8/4/22,2,10,8,20,14/4/22,2,11,1,14,8/3/22,0,0,0,0
9/4/22,8,24,8,40,15/4/22,1,2,1,4,9/3/22,0,0,0,0
10/4/22,8,14,4,26,18/4/22,3,7,5,15,10/3/22,0,0,0,0
14/4/22,2,11,1,14,19/4/22,1,1,0,2,11/3/22,0,0,0,0
15/4/22,1,2,1,4,20/4/22,1,9,1,11,12/3/22,0,0,0,0
16/4/22,1,9,2,12,21/4/22,0,0,0,0,14/3/22,0,0,0,0
17/4/22,0,2,2,4,22/4/22,0,0,0,0,15/3/22,0,0,0,0
18/4/22,3,7,5,15,23/4/22,0,0,0,0,16/3/22,0,0,0,0
19/4/22,1,1,0,2,25/4/22,2,5,3,10,17/3/22,0,0,0,0
20/4/22,1,9,1,11,26/4/22,3,4,2,9,18/3/22,0,0,0,0
24/4/22,1,13,7,21,27/4/22,4,11,3,18,19/3/22,0,0,0,0
25/4/22,2,5,3,10,28/4/22,4,12,5,21,21/3/22,0,0,0,0
26/4/22,3,4,2,9,29/4/22,5,12,3,20,22/3/22,0,0,0,0
27/4/22,4,11,3,18,30/4/22,0,0,0,0,23/3/22,0,0,0,0
28/4/22,4,12,5,21,2/5/22,1,0,0,1,24/3/22,0,0,0,0
29/4/22,5,12,3,20,3/5/22,6,18,7,31,25/3/22,0,0,0,0
2/5/22,1,0,0,1,4/5/22,2,5,3,10,26/3/22,0,0,0,0
3/5/22,6,18,7,31,5/5/22,0,1,0,1,28/3/22,0,0,0,0
4/5/22,2,5,3,10,6/5/22,4,7,9,20,29/3/22,0,0,0,0
5/5/22,0,1,0,1,7/5/22,3,2,0,5,30/3/22,0,0,0,0
6/5/22,4,7,9,20,9/5/22,6,13,6,25,31/3/22,0,0,0,0
7/5/22,3,2,0,5,10/5/22,0,2,2,4,1/4/22,0,0,0,0
8/5/22,0,1,1,2,11/5/22,0,0,0,0,2/4/22,0,0,0,0
9/5/22,6,13,6,25,12/5/22,0,0,0,0,4/4/22,1,2,2,5
10/5/22,0,2,2,4,13/5/22,0,0,0,0,5/4/22,3,3,4,10
17/5/22,0,0,2,2,14/5/22,0,0,0,0,6/4/22,0,5,2,7
18/5/22,9,13,1,23,16/5/22,0,0,0,0,7/4/22,0,9,1,10
19/5/22,6,18,9,33,17/5/22,0,0,2,2,8/4/22,2,10,8,20
20/5/22,13,20,8,41,18/5/22,9,13,1,23,9/4/22,8,24,8,40
26/5/22,0,5,1,6,19/5/22,6,18,9,33,11/4/22,0,0,0,0
27/5/22,8,20,11,39,20/5/22,13,20,8,41,12/4/22,0,0,0,0
28/5/22,7,19,7,33,21/5/22,0,0,0,0,13/4/22,0,0,0,0
29/5/22,3,9,9,21,23/5/22,0,0,0,0,14/4/22,2,11,1,14
4/6/22,7,13,6,26,24/5/22,0,0,0,0,15/4/22,1,2,1,4
5/6/22,0,9,4,13,25/5/22,0,0,0,0,18/4/22,3,7,5,15
6/6/22,5,5,5,15,26/5/22,0,5,1,6,19/4/22,1,1,0,2
7/6/22,1,7,2,10,27/5/22,8,20,11,39,20/4/22,1,9,1,11
8/6/22,1,3,1,5,28/5/22,7,19,7,33,21/4/22,0,0,0,0
9/6/22,0,5,4,9,31/5/22,0,0,0,0,22/4/22,0,0,0,0
10/6/22,3,12,6,21,1/6/22,0,0,0,0,23/4/22,0,0,0,0
16/6/22,4,31,7,42,2/6/22,0,0,0,0,25/4/22,2,5,3,10
17/6/22,2,32,6,40,3/6/22,0,0,0,0,26/4/22,3,4,2,9
18/6/22,4,34,16,54,4/6/22,7,13,6,26,27/4/22,4,11,3,18
19/6/22,4,12,15,31,6/6/22,5,5,5,15,28/4/22,4,12,5,21
20/6/22,3,21,18,42,7/6/22,1,7,2,10,29/4/22,5,12,3,20
21/6/22,2,8,2,12,8/6/22,1,3,1,5,30/4/22,0,0,0,0
2/7/22,2,1,4,7,9/6/22,0,5,4,9,2/5/22,1,0,0,1
4/7/22,0,2,1,3,10/6/22,3,12,6,21,3/5/22,6,18,7,31
5/7/22,3,7,6,16,11/6/22,0,0,0,0,4/5/22,2,5,3,10
6/7/22,1,10,4,15,13/6/22,0,0,0,0,5/5/22,0,1,0,1
7/7/22,6,12,6,24,14/6/22,0,0,0,0,6/5/22,4,7,9,20
8/7/22,2,7,2,11,15/6/22,0,0,0,0,7/5/22,3,2,0,5
12/7/22,1,9,5,15,16/6/22,4,31,7,42,9/5/22,6,13,6,25
13/7/22,1,11,6,18,17/6/22,2,32,6,40,10/5/22,0,2,2,4
14/7/22,0,3,0,3,18/6/22,4,34,16,54,11/5/22,0,0,0,0
15/7/22,0,16,5,21,21/6/22,2,8,2,12,12/5/22,0,0,0,0
16/7/22,1,3,2,6,22/6/22,0,0,0,0,13/5/22,0,0,0,0
18/7/22,1,16,3,20,23/6/22,0,0,0,0,14/5/22,0,0,0,0
19/7/22,1,8,3,12,24/6/22,0,0,0,0,16/5/22,0,0,0,0
20/7/22,1,3,0,4,25/6/22,0,0,0,0,17/5/22,0,0,2,2
21/7/22,1,7,3,11,27/6/22,0,0,0,0,18/5/22,9,13,1,23
22/7/22,0,5,3,8,28/6/22,0,0,0,0,19/5/22,6,18,9,33
23/7/22,0,3,1,4,29/6/22,0,0,0,0,20/5/22,13,20,8,41
24/7/22,0,14,5,19,30/6/22,0,0,0,0,21/5/22,0,0,0,0
25/7/22,8,10,6,24,1/7/22,0,0,0,0,23/5/22,0,0,0,0
26/7/22,1,3,2,6,2/7/22,2,1,4,7,24/5/22,0,0,0,0
27/7/22,4,9,2,15,5/7/22,3,7,6,16,25/5/22,0,0,0,0
28/7/22,0,1,0,1,6/7/22,1,10,4,15,26/5/22,0,5,1,6
29/7/22,2,9,4,15,7/7/22,6,12,6,24,27/5/22,8,20,11,39
30/7/22,2,10,2,14,8/7/22,2,7,2,11,28/5/22,7,19,7,33
31/7/22,0,8,2,10,9/7/22,0,0,0,0,31/5/22,0,0,0,0
1/8/22,1,10,2,13,11/7/22,0,0,0,0,1/6/22,0,0,0,0
2/8/22,0,3,5,8,12/7/22,1,9,5,15,2/6/22,0,0,0,0
4/8/22,0,7,2,9,13/7/22,1,11,6,18,3/6/22,0,0,0,0
5/8/22,0,2,1,3,14/7/22,0,3,0,3,4/6/22,7,13,6,26
6/8/22,4,9,1,14,15/7/22,0,16,5,21,6/6/22,5,5,5,15
7/8/22,0,4,1,5,16/7/22,1,3,2,6,7/6/22,1,7,2,10
8/8/22,0,2,1,3,18/7/22,1,16,3,20,8/6/22,1,3,1,5
9/8/22,0,3,1,4,19/7/22,1,8,3,12,9/6/22,0,5,4,9
10/8/22,0,18,4,22,20/7/22,1,3,0,4,10/6/22,3,12,6,21
11/8/22,2,11,1,14,21/7/22,1,7,3,11,11/6/22,0,0,0,0
12/8/22,0,5,1,6,22/7/22,0,5,3,8,13/6/22,0,0,0,0
13/8/22,1,8,2,11,23/7/22,0,3,1,4,14/6/22,0,0,0,0
14/8/22,2,2,2,6,25/7/22,8,10,6,24,15/6/22,0,0,0,0
15/8/22,0,0,1,1,26/7/22,1,3,2,6,16/6/22,4,31,7,42
16/8/22,0,3,1,4,27/7/22,4,9,2,15,17/6/22,2,32,6,40
17/8/22,4,11,9,24,28/7/22,0,1,0,1,18/6/22,4,34,16,54
18/8/22,1,5,2,8,29/7/22,2,9,4,15,21/6/22,2,8,2,12
19/8/22,2,14,4,20,30/7/22,2,10,2,14,22/6/22,0,0,0,0
20/8/22,0,8,0,8,1/8/22,1,10,2,13,23/6/22,0,0,0,0
21/8/22,0,3,6,9,2/8/22,0,3,5,8,24/6/22,0,0,0,0
22/8/22,0,5,3,8,3/8/22,0,0,0,0,25/6/22,0,0,0,0
23/8/22,1,10,0,11,4/8/22,0,7,2,9,27/6/22,0,0,0,0
24/8/22,1,6,1,8,5/8/22,0,2,1,3,28/6/22,0,0,0,0
25/8/22,1,2,1,4,6/8/22,4,9,1,14,29/6/22,0,0,0,0
26/8/22,5,9,4,18,8/8/22,0,2,1,3,30/6/22,0,0,0,0
27/8/22,1,0,0,1,9/8/22,0,3,1,4,1/7/22,0,0,0,0
28/8/22,1,16,16,33,10/8/22,0,18,4,22,2/7/22,2,1,4,7
29/8/22,0,6,2,8,11/8/22,2,11,1,14,5/7/22,3,7,6,16
30/8/22,0,6,2,8,12/8/22,0,5,1,6,6/7/22,1,10,4,15
31/8/22,0,5,0,5,13/8/22,1,8,2,11,7/7/22,6,12,6,24
1/9/22,0,3,2,5,15/8/22,0,0,1,1,8/7/22,2,7,2,11
3/9/22,1,1,0,2,16/8/22,0,3,1,4,9/7/22,0,0,0,0
4/9/22,0,0,3,3,17/8/22,4,11,9,24,11/7/22,0,0,0,0
5/9/22,3,5,2,10,18/8/22,1,5,2,8,12/7/22,1,9,5,15
6/9/22,6,13,7,26,19/8/22,2,14,4,20,13/7/22,1,11,6,18
7/9/22,0,3,6,9,20/8/22,0,8,0,8,14/7/22,0,3,0,3
8/9/22,9,18,36,63,22/8/22,0,5,3,8,15/7/22,0,16,5,21
9/9/22,0,21,9,30,23/8/22,1,10,0,11,16/7/22,1,3,2,6
10/9/22,0,21,3,24,24/8/22,1,6,1,8,18/7/22,1,16,3,20
11/9/22,2,8,0,10,25/8/22,1,2,1,4,19/7/22,1,8,3,12
12/9/22,6,12,6,24,26/8/22,5,9,4,18,20/7/22,1,3,0,4
13/9/22,8,34,10,52,27/8/22,1,0,0,1,21/7/22,1,7,3,11
14/9/22,0,8,2,10,29/8/22,0,6,2,8,22/7/22,0,5,3,8
15/9/22,0,2,0,2,30/8/22,0,6,2,8,23/7/22,0,3,1,4
,,,,0,31/8/22,0,5,0,5,25/7/22,8,10,6,24
,,,,0,1/9/22,0,3,2,5,26/7/22,1,3,2,6
,,,,0,2/9/22,0,0,0,0,27/7/22,4,9,2,15
,,,,0,3/9/22,1,1,0,2,28/7/22,0,1,0,1
,,,,0,6/9/22,6,13,7,26,29/7/22,2,9,4,15
,,,,0,7/9/22,0,3,6,9,30/7/22,2,10,2,14
,,,,0,8/9/22,9,18,36,63,1/8/22,1,10,2,13
,,,,0,9/9/22,0,21,9,30,2/8/22,0,3,5,8
,,,,0,10/9/22,0,21,3,24,3/8/22,0,0,0,0
,,,,0,12/9/22,6,12,6,24,4/8/22,0,7,2,9
,,,,0,13/9/22,8,34,10,52,5/8/22,0,2,1,3
,,,,0,14/9/22,0,8,2,10,6/8/22,4,9,1,14
,,,,0,15/9/22,0,2,0,2,8/8/22,0,2,1,3
,,,,,,,,,,9/8/22,0,3,1,4
,,,,,,,,,,10/8/22,0,18,4,22
,,,,,,,,,,11/8/22,2,11,1,14
,,,,,,,,,,12/8/22,0,5,1,6
,,,,,,,,,,13/8/22,1,8,2,11
,,,,,,,,,,15/8/22,0,0,1,1
,,,,,,,,,,16/8/22,0,3,1,4
,,,,,,,,,,17/8/22,4,11,9,24
,,,,,,,,,,18/8/22,1,5,2,8
,,,,,,,,,,19/8/22,2,14,4,20
,,,,,,,,,,20/8/22,0,8,0,8
,,,,,,,,,,22/8/22,0,5,3,8
,,,,,,,,,,23/8/22,1,10,0,11
,,,,,,,,,,24/8/22,1,6,1,8
,,,,,,,,,,25/8/22,1,2,1,4
,,,,,,,,,,26/8/22,5,9,4,18
,,,,,,,,,,27/8/22,1,0,0,1
,,,,,,,,,,29/8/22,0,6,2,8
,,,,,,,,,,30/8/22,0,6,2,8
,,,,,,,,,,31/8/22,0,5,0,5
,,,,,,,,,,1/9/22,0,3,2,5
,,,,,,,,,,2/9/22,0,0,0,0
,,,,,,,,,,3/9/22,1,1,0,2
,,,,,,,,,,6/9/22,6,13,7,26
,,,,,,,,,,7/9/22,0,3,6,9
,,,,,,,,,,8/9/22,9,18,36,63
,,,,,,,,,,9/9/22,0,21,9,30
,,,,,,,,,,10/9/22,0,21,3,24
,,,,,,,,,,12/9/22,6,12,6,24
,,,,,,,,,,13/9/22,8,34,10,52
,,,,,,,,,,14/9/22,0,8,2,10
,,,,,,,,,,15/9/22,0,2,0,2